VVM Reference Implementation
Wed Dec 15 21:32:33 2004
                   | altivec                            | scalar                            
                   |      1      2      3      4      5 |      1      2      3      4      5
              char |   -1.7   -1.0   -2.0   -0.6   -1.2 |    1.5    0.2    1.7    0.6    1.0 
       signed char |   -0.6    0.1   -0.7   -0.6   -1.0 |    0.0    0.1    0.8   -0.3   -0.9 
     unsigned char |   -0.2    0.0   -1.5   -1.8   -0.9 |    0.0    0.2    0.5   -0.2    0.1 
         short int |   13.5   15.2   17.4   18.1   18.5 |    0.1    0.9   -0.3    0.5    0.7 
unsigned short int |   15.1   16.3   17.1   17.7   20.2 |    0.1   -0.6    0.0   -1.3   -0.3 
               int |   19.1   18.3   20.0   22.5   23.0 |    2.8    3.3    2.2    3.5    1.8 
      unsigned int |   18.5   19.1   20.1   22.1   24.2 |   -0.3    0.1   -0.8    0.3   -0.5 
          long int |   17.5   18.5   19.9   20.6   21.8 |    1.9   -0.2    0.8    0.4   -0.3 
 unsigned long int |   19.7   19.7   20.2   20.7   21.6 |    0.3   -1.0   -0.5    0.2    0.6 
             float |   18.7   19.2   20.3   16.5   14.8 |   -0.4    0.5    0.5    0.7    0.2 
            double |    N/A    N/A    N/A    N/A    N/A |    1.9    1.9    1.9    1.8    1.2 
