VVMRI - Draft (Expression Templates)
Wed Dec 15 21:47:44 2004
                   | altivec                            | scalar                            
                   |      1      2      3      4      5 |      1      2      3      4      5
              char |   14.0   28.6   49.2   72.6  100.7 |  175.1  372.9  767.5  953.2 1126.5 
       signed char |   13.7   29.4   47.5   70.1  100.3 |  174.7  370.4  768.4  950.6 1121.4 
     unsigned char |   14.8   31.0   46.9   71.0  100.2 |  158.3  371.5  734.2  928.4 1072.6 
         short int |    4.9   10.8   19.7   31.9   44.5 |  105.6  241.3  481.5  620.9  783.4 
unsigned short int |    5.6   11.6   20.0   32.0   45.5 |  105.6  240.2  473.1  618.9  769.3 
               int |    1.5    4.4    7.4   13.9   19.5 |   62.6  142.4  273.7  374.2  483.4 
      unsigned int |    2.3    5.0    7.9   13.9   19.9 |   63.3  138.2  270.9  374.6  480.8 
          long int |    0.7    4.9    8.0   13.6   19.8 |   61.4  138.3  273.9  370.6  484.0 
 unsigned long int |    2.9    4.3    8.3   14.2   20.6 |   61.4  138.8  271.1  372.4  483.0 
             float |    1.6    3.8   11.1   17.6   20.9 |   71.4  129.6  200.8  249.9  298.4 
            double |    N/A    N/A    N/A    N/A    N/A |   39.7   73.6  117.5  152.8  192.4 
