VVMRI - Draft (Functions)
Thu Dec 30 13:32:48 2004
                   | altivec                            | scalar                            
                   |      1      2      3      4      5 |      1      2      3      4      5
              char |   -0.9    0.3   -0.5    0.7   -0.7 |    0.6    1.1   -0.2    0.2    0.3 
       signed char |   -0.8   -0.3   -0.6    0.3    0.7 |    0.0    0.3    0.3   -0.5   -0.8 
     unsigned char |    0.2    0.1   -1.0    0.9   -2.1 |   -0.1    0.1    0.1    0.5    0.5 
         short int |   15.8   15.1   16.8   18.8   18.7 |   -0.7    1.0   -0.3    0.0    0.7 
unsigned short int |   15.3   15.4   16.6   17.6   17.8 |    0.3   -0.4    0.3   -0.5    0.2 
               int |   19.0   17.1   19.3   18.6   21.8 |    2.7    3.6    3.5    3.4    1.9 
      unsigned int |   17.3   17.3   21.0   21.4   23.0 |   -0.4    1.1   -1.1    1.5    0.1 
          long int |   18.0   18.0   20.4   21.8   21.8 |   -0.4    0.4    1.3    0.0    0.2 
 unsigned long int |   18.1   19.1   20.0   20.9   21.9 |    1.1    1.0    0.7    0.5    0.8 
             float |   17.6   18.0   18.0   17.2   15.0 |   -0.3    0.0   -0.4    0.1   -0.4 
            double |    N/A    N/A    N/A    N/A    N/A |    2.6    2.0    2.3    2.0    1.6 
