VVMRI - Draft (Functions)
Thu Jun 10 17:09:17 2004
                   | altivec                            | scalar                            
                   |      1      2      3      4      5 |      1      2      3      4      5
              char |   -5.4   -7.4   -7.4   -5.6   -8.4 |  -24.6  -14.0   -8.3  -16.9  -15.5 
       signed char |   -0.1   -0.4   -0.2    0.6   -0.7 |    6.8   -5.3  -11.7   -1.7   -3.3 
     unsigned char |   -0.7   -1.7   -0.6   -1.6   -1.2 |   -9.8   -0.7    9.7   -3.5   -1.2 
         short int |   10.0   10.8   11.3   12.3   12.2 |   -7.2   -7.3   -6.7   -6.0   -5.8 
unsigned short int |   14.3   14.4   14.5   14.5   14.1 |   -3.2   -2.7   -1.4   -3.2   -1.4 
               int |    8.2    9.2   12.1   11.6   10.7 |   -3.4   -3.7   -3.9   -4.0   -3.8 
      unsigned int |   10.6   11.9   13.5   12.3   15.3 |   -1.8   -2.1   -0.2   -0.6   -1.0 
          long int |   12.0   11.4   12.0   12.4   14.2 |   -1.4   -2.4   -1.5   -2.8   -1.8 
 unsigned long int |   10.6   11.7   12.0   11.6   11.9 |   -1.5   -0.9   -1.0   -2.2   -0.5 
             float |   11.8   11.1   11.7   11.2   11.5 |   -1.7   -1.7   -0.1   -1.2   -0.7 
            double |    N/A    N/A    N/A    N/A    N/A |   -0.3   -2.6   -2.1   -1.4   -2.2 
