VVM Reference Implementation
Thu Jun 10 17:15:33 2004
                   | altivec                            | scalar                            
                   |      1      2      3      4      5 |      1      2      3      4      5
              char |   -6.7   -7.0   -5.7   -5.9   -5.1 |   -6.5  -16.3  -22.6  -12.2  -14.8 
       signed char |    0.0    0.0   -0.6   -0.1   -1.1 |  -12.4   -2.8    6.7   -1.4    0.2 
     unsigned char |   -1.5   -1.5   -0.4   -0.3    0.0 |    8.2   -4.2  -11.9   -1.2   -0.7 
         short int |    9.8   12.4   11.7   12.7   13.1 |  -13.8   -4.9   -7.6   -7.2   -5.8 
unsigned short int |   12.6   14.0   14.6   15.0   13.1 |   -7.6   -0.3   -3.3   -2.1   -1.0 
               int |    7.6    9.1    9.1    9.2   11.7 |   -4.6   -2.1   -2.9   -2.0   -2.6 
      unsigned int |   10.3   10.9   10.8   11.3   11.1 |   -4.2    0.9   -2.0   -1.3   -1.0 
          long int |    9.5   10.2   11.4   11.9   12.7 |   -5.4   -0.9   -2.4   -1.4   -0.8 
 unsigned long int |    7.3    9.7   12.9   12.6   11.8 |   -4.1   -0.6   -2.7   -0.6   -1.4 
             float |    8.6   10.8   10.4   11.0   12.5 |   -1.2   -1.0    0.3   -0.2   -0.6 
            double |    N/A    N/A    N/A    N/A    N/A |   -2.6   -1.5   -0.1   -1.2   -2.0 
