VVMRI - Draft (Expression Templates)
Thu Jun 10 16:41:08 2004
                   | altivec                            | scalar                            
                   |      1      2      3      4      5 |      1      2      3      4      5
              char |   -1.5    7.0   30.0   54.3   68.3 |  159.8  230.0  540.9  685.5  957.6 
       signed char |    2.0   11.5   37.5   62.1   76.7 |  168.6  271.3  574.4  807.0 1074.6 
     unsigned char |    1.9   12.3   37.9   64.8   75.9 |  206.6  283.7  640.5  810.4 1062.5 
         short int |   -3.1    4.3   16.6   27.5   35.3 |   91.9  161.7  321.4  466.6  652.5 
unsigned short int |    0.4    7.8   18.6   28.8   37.6 |  103.4  166.6  372.8  494.3  635.3 
               int |   -2.7    0.5    3.1   10.7   13.2 |   72.6   91.8  151.7  257.2  327.0 
      unsigned int |   -0.3    3.1    4.9   14.1   14.5 |   72.7   98.4  153.6  263.4  353.3 
          long int |   -2.6    2.1    7.7   13.5   16.6 |   75.4   95.6  157.7  269.0  336.6 
 unsigned long int |   -1.2    3.7    5.9   13.2   16.6 |   70.3   98.0  155.8  263.0  351.5 
             float |   -0.3    1.7    5.1   11.3   13.9 |   75.2   93.4  145.3  206.4  277.6 
            double |    N/A    N/A    N/A    N/A    N/A |   22.7   46.1   88.5  138.0  154.3 
